Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
204,204,0,1,0,9099
205,205,0,1,0,2417
206,206,0,1,0,5378
207,207,0,1,0,12731
208,208,0,1,0,12795
209,209,0,1,0,5331
210,210,0,0,0,2482
211,211,0,1,0,9008
212,212,0,1,0,13962
213,213,0,1,0,9831
214,214,0,0,0,2688
215,215,0,1,0,4726
216,216,0,1,0,12227
217,217,0,1,0,13169
218,218,0,1,0,6027
219,219,0,1,0,2271
220,220,0,0,0,8264
221,221,0,1,0,13867
222,222,0,1,0,10536
223,223,0,1,0,3046
224,224,0,1,0,4129
225,225,0,0,0,11680
226,226,0,1,0,13504
227,227,0,1,0,6786
228,228,0,1,0,2165
229,229,0,1,0,7516
230,230,0,1,0,13687
231,231,0,0,0,11184
232,232,0,1,0,3509
233,233,0,1,0,3605
234,234,0,1,0,11090
235,235,0,1,0,13730
236,236,0,1,0,7562
237,237,0,1,0,2150
238,238,0,1,0,6777
239,239,0,1,0,13453
240,240,0,1,0,11787
241,241,0,1,0,4058
242,242,0,1,0,3151
243,243,0,1,0,10427
244,244,0,1,0,13893
245,245,0,1,0,8338
246,246,0,1,0,2224
247,247,0,1,0,6071
248,248,0,1,0,13130
249,249,0,1,0,12343
250,250,0,0,0,4652
251,251,0,1,0,2782
252,252,0,1,0,9747
253,253,0,0,0,13966
254,254,0,1,0,9087
255,255,0,1,0,2419
256,256,0,1,0,5373
257,257,0,1,0,12709
258,258,0,1,0,12793
259,259,0,0,0,5320
260,260,0,1,0,2469
261,261,0,1,0,9015
262,262,0,0,0,13964
263,263,0,1,0,9826
264,264,0,1,0,2689
265,265,0,1,0,4736
266,266,0,1,0,12226
267,267,0,1,0,13172
268,268,0,1,0,6017
269,269,0,1,0,2298
270,270,0,1,0,8265
271,271,0,1,0,13879
272,272,0,1,0,10537
273,273,0,1,0,3063
274,274,0,0,0,4148
275,275,0,1,0,11695
276,276,0,1,0,13506
277,277,0,1,0,6763
278,278,0,1,0,2148
279,279,0,1,0,7528
280,280,0,1,0,13689
281,281,0,1,0,11189
282,282,0,1,0,3523
283,283,0,1,0,3615
284,284,0,1,0,11091
285,285,0,0,0,13726
286,286,0,1,0,7549
287,287,0,1,0,2146
288,288,0,1,0,6785
289,289,0,1,0,13445
290,290,0,1,0,11795
291,291,0,1,0,4045
292,292,0,1,0,3152
293,293,0,1,0,10445
294,294,0,1,0,13884
295,295,0,1,0,8317
296,296,0,1,0,2228
297,297,0,1,0,6081
298,298,0,1,0,13121
299,299,0,1,0,12330
300,300,0,1,0,4653
301,301,0,1,0,2764
302,302,0,1,0,9745
303,303,0,1,0,13964
304,304,0,1,0,9076
305,305,0,1,0,2402
306,306,0,1,0,5383
307,307,0,1,0,12730
308,308,0,1,0,12781
309,309,0,1,0,5311
310,310,0,1,0,2489
311,311,0,1,0,9021
312,312,0,1,0,13959
313,313,0,1,0,9818
314,314,0,1,0,2679
315,315,0,1,0,4745
316,316,0,1,0,12232
317,317,0,1,0,13182
318,318,0,1,0,6011
319,319,0,1,0,2288
320,320,0,1,0,8285
321,321,0,1,0,13868
322,322,0,1,0,10503
323,323,0,1,0,3039
324,324,0,1,0,4150
325,325,0,1,0,11712
326,326,0,1,0,13492
327,327,0,1,0,6767
328,328,0,1,0,2138
329,329,0,1,0,7543
330,330,0,1,0,13710
331,331,0,1,0,11176
332,332,0,1,0,3519
333,333,0,1,0,3615
334,334,0,1,0,11094
335,335,0,1,0,13732
336,336,0,1,0,7535
337,337,0,1,0,2153
338,338,0,1,0,6800
339,339,0,1,0,13451
340,340,0,1,0,11780
341,341,0,1,0,4030
342,342,0,1,0,3169
343,343,0,1,0,10450
344,344,0,1,0,13883
345,345,0,1,0,8326
346,346,0,1,0,2226
