Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_ad_if/inst/probe0_1[13:0],block_design_i/system_ila_ad_if/inst/probe1_1,block_design_i/system_ila_ad_if/inst/probe2_1[13:0],block_design_i/system_ila_ad_if/inst/probe3_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,HEX
4026,4026,0,-7568,1,-4839,00000001
4027,4027,0,-4839,1,-7448,00000001
4028,4028,0,-7448,1,3314,00000001
4029,4029,0,3314,1,-7559,00000001
4030,4030,0,-7559,1,-4844,00000001
4031,4031,0,-4844,1,-7454,00000001
4032,4032,0,-7454,1,3313,00000001
4033,4033,0,3313,1,-7558,00000001
4034,4034,0,-7558,1,-4840,00000001
4035,4035,0,-4840,1,-7466,00000001
4036,4036,0,-7466,1,3314,00000001
4037,4037,0,3314,1,-7553,00000001
4038,4038,0,-7553,1,-4839,00000001
4039,4039,0,-4839,1,-7473,00000001
4040,4040,0,-7473,1,3319,00000001
4041,4041,0,3319,1,-7548,00000001
4042,4042,0,-7548,1,-4837,00000001
4043,4043,0,-4837,1,-7477,00000001
4044,4044,0,-7477,1,3321,00000001
4045,4045,0,3321,1,-7544,00000001
4046,4046,0,-7544,1,-4841,00000001
4047,4047,0,-4841,1,-7484,00000001
4048,4048,0,-7484,1,3321,00000001
4049,4049,0,3321,1,-7536,00000001
4050,4050,0,-7536,1,-4838,00000001
4051,4051,0,-4838,1,-7487,00000001
4052,4052,0,-7487,1,3320,00000001
4053,4053,0,3320,1,-7536,00000001
4054,4054,0,-7536,1,-4840,00000001
4055,4055,0,-4840,1,-7490,00000001
4056,4056,0,-7490,1,3322,00000001
4057,4057,0,3322,1,-7533,00000001
4058,4058,0,-7533,1,-4843,00000001
4059,4059,0,-4843,1,-7492,00000001
4060,4060,0,-7492,1,3320,00000001
4061,4061,0,3320,1,-7534,00000001
4062,4062,0,-7534,1,-4839,00000001
4063,4063,0,-4839,1,-7493,00000001
4064,4064,0,-7493,1,3326,00000001
4065,4065,0,3326,1,-7538,00000001
4066,4066,0,-7538,1,-4840,00000001
4067,4067,0,-4840,1,-7498,00000001
4068,4068,0,-7498,1,3321,00000001
4069,4069,0,3321,1,-7531,00000001
4070,4070,0,-7531,1,-4840,00000001
4071,4071,0,-4840,1,-7492,00000001
4072,4072,0,-7492,1,3319,00000001
4073,4073,0,3319,1,-7532,00000001
4074,4074,0,-7532,1,-4842,00000001
4075,4075,0,-4842,1,-7492,00000001
4076,4076,0,-7492,1,3325,00000001
4077,4077,0,3325,1,-7533,00000001
4078,4078,0,-7533,1,-4840,00000001
4079,4079,0,-4840,1,-7484,00000001
4080,4080,0,-7484,1,3325,00000001
4081,4081,0,3325,1,-7536,00000001
4082,4082,0,-7536,1,-4841,00000001
4083,4083,0,-4841,1,-7483,00000001
4084,4084,0,-7483,1,3318,00000001
4085,4085,0,3318,1,-7542,00000001
4086,4086,0,-7542,1,-4839,00000001
4087,4087,0,-4839,1,-7482,00000001
4088,4088,0,-7482,1,3321,00000001
4089,4089,0,3321,1,-7548,00000001
4090,4090,0,-7548,1,-4845,00000001
4091,4091,0,-4845,1,-7476,00000001
4092,4092,0,-7476,1,3319,00000001
4093,4093,0,3319,1,-7554,00000001
4094,4094,0,-7554,1,-4843,00000001
4095,4095,0,-4843,1,-7460,00000001
4096,4096,0,-7460,1,3315,00000001
4097,4097,0,3315,1,-7558,00000001
4098,4098,0,-7558,1,-4841,00000001
4099,4099,0,-4841,1,-7452,00000001
4100,4100,0,-7452,1,3315,00000001
4101,4101,0,3315,1,-7560,00000001
4102,4102,0,-7560,1,-4845,00000001
4103,4103,0,-4845,1,-7445,00000001
4104,4104,0,-7445,1,3317,00000001
4105,4105,0,3317,1,-7575,00000001
4106,4106,0,-7575,1,-4841,00000001
4107,4107,0,-4841,1,-7443,00000001
4108,4108,0,-7443,1,3310,00000001
4109,4109,0,3310,1,-7574,00000001
4110,4110,0,-7574,1,-4844,00000001
4111,4111,0,-4844,1,-7438,00000001
4112,4112,0,-7438,1,3311,00000001
4113,4113,0,3311,1,-7576,00000001
4114,4114,0,-7576,1,-4841,00000001
