Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
235,235,0,1,0,13320
236,236,0,0,0,6065
237,237,0,1,0,6065
238,238,0,0,0,9538
239,239,0,1,0,9538
240,240,0,0,0,5909
241,241,0,1,0,4885
242,242,0,0,0,15201
243,243,0,1,0,15201
244,244,0,0,0,15361
245,245,0,1,0,13313
246,246,0,0,0,6074
247,247,0,1,0,6074
248,248,0,0,0,9526
249,249,0,1,0,9526
250,250,0,0,0,5912
251,251,0,1,0,4888
252,252,0,0,0,15235
253,253,0,1,0,15235
254,254,0,0,0,15383
255,255,0,1,0,13335
256,256,0,0,0,6075
257,257,0,1,0,6075
258,258,0,0,0,9562
259,259,0,1,0,9562
260,260,0,0,0,5928
261,261,0,1,0,4904
262,262,0,0,0,15249
263,263,0,1,0,15249
264,264,0,0,0,15383
265,265,0,1,0,13335
266,266,0,0,0,6113
267,267,0,1,0,6113
268,268,0,0,0,9491
269,269,0,1,0,9491
270,270,0,0,0,5922
271,271,0,1,0,4898
272,272,0,0,0,15221
273,273,0,1,0,15221
274,274,0,0,0,15390
275,275,0,1,0,13342
276,276,0,0,0,6057
277,277,0,1,0,6057
278,278,0,0,0,9514
279,279,0,1,0,9514
280,280,0,0,0,5914
281,281,0,1,0,4890
282,282,0,0,0,15212
283,283,0,1,0,15212
284,284,0,0,0,15354
285,285,0,1,0,13306
286,286,0,0,0,6093
287,287,0,1,0,6093
288,288,0,0,0,9538
289,289,0,1,0,9538
290,290,0,0,0,5902
291,291,0,1,0,4878
292,292,0,0,0,15223
293,293,0,1,0,15223
294,294,0,0,0,15384
295,295,0,1,0,13336
296,296,0,0,0,6078
297,297,0,1,0,6078
298,298,0,0,0,9534
299,299,0,1,0,9534
300,300,0,0,0,5907
301,301,0,1,0,4883
302,302,0,0,0,15216
303,303,0,1,0,15216
304,304,0,0,0,15375
305,305,0,1,0,13327
306,306,0,0,0,6113
307,307,0,1,0,6113
308,308,0,0,0,9523
309,309,0,1,0,9523
310,310,0,0,0,5950
311,311,0,1,0,4926
312,312,0,0,0,15221
313,313,0,1,0,15221
314,314,0,0,0,15382
315,315,0,1,0,13334
316,316,0,0,0,6084
317,317,0,1,0,6084
318,318,0,0,0,9535
319,319,0,1,0,9535
320,320,0,0,0,5925
321,321,0,1,0,4901
322,322,0,0,0,15237
323,323,0,1,0,15237
324,324,0,0,0,15378
325,325,0,1,0,13330
326,326,0,0,0,6054
327,327,0,1,0,6054
328,328,0,0,0,9531
329,329,0,1,0,9531
330,330,0,0,0,5915
331,331,0,1,0,4891
332,332,0,0,0,15257
333,333,0,1,0,15257
334,334,0,0,0,15369
335,335,0,1,0,13321
336,336,0,0,0,6092
337,337,0,1,0,6092
338,338,0,0,0,9548
339,339,0,1,0,9548
340,340,0,0,0,5949
341,341,0,1,0,4925
342,342,0,0,0,15240
343,343,0,1,0,15240
344,344,0,0,0,15394
345,345,0,1,0,13346
346,346,0,0,0,6105
347,347,0,1,0,6105
348,348,0,0,0,9522
349,349,0,1,0,9522
350,350,0,0,0,5926
351,351,0,1,0,4902
352,352,0,0,0,15244
353,353,0,1,0,15244
354,354,0,0,0,15395
355,355,0,1,0,13347
356,356,0,0,0,6102
357,357,0,1,0,6102
358,358,0,0,0,9517
359,359,0,1,0,9517
360,360,0,0,0,5905
361,361,0,1,0,4881
362,362,0,0,0,15229
363,363,0,1,0,15229
364,364,0,0,0,15346
365,365,0,1,0,13298
366,366,0,0,0,6065
367,367,0,1,0,6065
368,368,0,0,0,9524
369,369,0,1,0,9524
370,370,0,0,0,5887
371,371,0,1,0,4863
372,372,0,0,0,15221
373,373,0,1,0,15221
374,374,0,0,0,15385
375,375,0,1,0,13337
376,376,0,0,0,6073
377,377,0,1,0,6073
378,378,0,0,0,9531
379,379,0,1,0,9531
380,380,0,0,0,5897
381,381,0,1,0,4873
382,382,0,0,0,15231
383,383,0,1,0,15231
384,384,0,0,0,15381
385,385,0,1,0,13333
386,386,0,0,0,6114
387,387,0,1,0,6114
388,388,0,0,0,9521
389,389,0,1,0,9521
390,390,0,0,0,5942
391,391,0,1,0,4918
392,392,0,0,0,15207
393,393,0,1,0,15207
394,394,0,0,0,15404
395,395,0,1,0,13356
396,396,0,0,0,6081
397,397,0,1,0,6081
398,398,0,0,0,9540
399,399,0,1,0,9540
400,400,0,0,0,5912
401,401,0,1,0,4888
402,402,0,0,0,15195
403,403,0,1,0,15195
404,404,0,0,0,15370
405,405,0,1,0,13322
406,406,0,0,0,6068
407,407,0,1,0,6068
408,408,0,0,0,9540
409,409,0,1,0,9540
410,410,0,0,0,5911
411,411,0,1,0,4887
412,412,0,0,0,15209
413,413,0,1,0,15209
414,414,0,0,0,15392
415,415,0,1,0,13344
416,416,0,0,0,6084
417,417,0,1,0,6084
418,418,0,0,0,9521
419,419,0,1,0,9521
420,420,0,0,0,5930
421,421,0,1,0,4906
422,422,0,0,0,15211
423,423,0,1,0,15211
424,424,0,0,0,15386
425,425,0,1,0,13338
426,426,0,0,0,6048
427,427,0,1,0,6048
428,428,0,0,0,9533
429,429,0,1,0,9533
430,430,0,0,0,5912
431,431,0,1,0,4888
432,432,0,0,0,15228
433,433,0,1,0,15228
434,434,0,0,0,15363
435,435,0,1,0,13315
436,436,0,0,0,6098
437,437,0,1,0,6098
438,438,0,0,0,9514
439,439,0,1,0,9514
440,440,0,0,0,5951
441,441,0,1,0,4927
442,442,0,0,0,15221
443,443,0,1,0,15221
444,444,0,0,0,15375
445,445,0,1,0,13327
446,446,0,0,0,6064
447,447,0,1,0,6064
448,448,0,0,0,9509
449,449,0,1,0,9509
450,450,0,0,0,5917
451,451,0,1,0,4893
452,452,0,0,0,15225
453,453,0,1,0,15225
454,454,0,0,0,15379
455,455,0,1,0,13331
456,456,0,0,0,6065
457,457,0,1,0,6065
458,458,0,0,0,9540
459,459,0,1,0,9540
460,460,0,0,0,5910
461,461,0,1,0,4886
462,462,0,0,0,15217
463,463,0,1,0,15217
464,464,0,0,0,15412
465,465,0,1,0,13364
466,466,0,0,0,6074
467,467,0,1,0,6074
468,468,0,0,0,9534
469,469,0,1,0,9534
470,470,0,0,0,5915
471,471,0,1,0,4891
472,472,0,0,0,15197
473,473,0,1,0,15197
474,474,0,0,0,15368
