Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED
229,229,0,0,0,7693
230,230,0,0,0,-4588
231,231,0,0,0,6014
232,232,0,0,0,-4195
233,233,0,0,0,3906
234,234,0,0,0,-429
235,235,0,0,0,1861
236,236,0,0,0,887
237,237,0,0,0,-2480
238,238,0,0,0,3998
239,239,0,0,0,-4152
240,240,0,0,0,8126
241,241,0,0,0,-6626
242,242,0,0,0,7678
243,243,0,0,0,-4383
244,244,0,0,0,5622
245,245,0,0,0,-4662
246,246,0,0,0,3238
247,247,0,0,0,-650
248,248,0,0,0,-10
249,249,0,0,0,3768
250,250,0,0,0,-2214
251,251,0,0,0,4660
252,252,0,0,0,-5682
253,253,0,0,0,6364
254,254,0,0,0,-4668
255,255,0,0,0,7570
256,256,0,0,0,-6138
257,257,0,0,0,7186
258,258,0,0,0,-3994
259,259,0,0,0,2463
260,260,0,0,0,-808
261,261,0,0,0,-842
262,262,0,0,0,3544
263,263,0,0,0,-1905
264,264,0,0,0,5204
265,265,0,0,0,-5076
266,266,0,0,0,6570
267,267,0,0,0,-4679
268,268,0,0,0,7335
269,269,0,0,0,-5713
270,270,0,0,0,6599
271,271,0,0,0,-3260
272,272,0,0,0,1664
273,273,0,0,0,1062
274,274,0,0,0,-1682
275,275,0,0,0,3278
276,276,0,0,0,-4605
277,277,0,0,0,7751
278,278,0,0,0,-6411
279,279,0,0,0,7680
280,280,0,0,0,-4588
281,281,0,0,0,6023
282,282,0,0,0,-4201
283,283,0,0,0,3919
284,284,0,0,0,-436
285,285,0,0,0,844
286,286,0,0,0,874
287,287,0,0,0,-2490
288,288,0,0,0,4013
289,289,0,0,0,-4153
290,290,0,0,0,8112
291,291,0,0,0,-6620
292,292,0,0,0,7671
293,293,0,0,0,-4367
294,294,0,0,0,5605
295,295,0,0,0,-4628
296,296,0,0,0,3200
297,297,0,0,0,-647
298,298,0,0,0,2050
299,299,0,0,0,1727
300,300,0,0,0,-2225
301,301,0,0,0,4653
302,302,0,0,0,-5677
303,303,0,0,0,6377
304,304,0,0,0,-4695
305,305,0,0,0,7537
306,306,0,0,0,-6106
307,307,0,0,0,7154
308,308,0,0,0,-3965
309,309,0,0,0,2456
310,310,0,0,0,-816
311,311,0,0,0,-856
312,312,0,0,0,3551
313,313,0,0,0,-1905
314,314,0,0,0,5203
315,315,0,0,0,-5079
316,316,0,0,0,6558
317,317,0,0,0,-4668
318,318,0,0,0,7317
319,319,0,0,0,-5706
320,320,0,0,0,6597
321,321,0,0,0,-3257
322,322,0,0,0,1650
323,323,0,0,0,1068
324,324,0,0,0,-1677
325,325,0,0,0,3306
326,326,0,0,0,-4624
327,327,0,0,0,7766
328,328,0,0,0,-6420
329,329,0,0,0,7679
330,330,0,0,0,-4573
331,331,0,0,0,6015
332,332,0,0,0,-4179
333,333,0,0,0,3890
334,334,0,0,0,-417
335,335,0,0,0,812
336,336,0,0,0,891
337,337,0,0,0,-2493
338,338,0,0,0,4018
339,339,0,0,0,-4157
340,340,0,0,0,8121
341,341,0,0,0,-6609
342,342,0,0,0,7666
343,343,0,0,0,-4364
344,344,0,0,0,5613
345,345,0,0,0,-4614
346,346,0,0,0,3185
347,347,0,0,0,-622
348,348,0,0,0,-18
349,349,0,0,0,3791
350,350,0,0,0,-3255
351,351,0,0,0,4661
352,352,0,0,0,-5689
353,353,0,0,0,6368
354,354,0,0,0,-4691
355,355,0,0,0,6536
356,356,0,0,0,-6104
357,357,0,0,0,7152
358,358,0,0,0,-3953
359,359,0,0,0,2439
360,360,0,0,0,-829
361,361,0,0,0,-862
362,362,0,0,0,3586
363,363,0,0,0,-1922
364,364,0,0,0,5220
365,365,0,0,0,-5086
366,366,0,0,0,6550
367,367,0,0,0,-4665
368,368,0,0,0,7335
369,369,0,0,0,-5700
370,370,0,0,0,6594
371,371,0,0,0,-3240
372,372,0,0,0,1642
373,373,0,0,0,1059
374,374,0,0,0,-1686
375,375,0,0,0,3320
376,376,0,0,0,-4616
377,377,0,0,0,7740
378,378,0,0,0,-6405
379,379,0,0,0,7669
380,380,0,0,0,-4576
381,381,0,0,0,6015
382,382,0,0,0,-4196
383,383,0,0,0,3910
384,384,0,0,0,-419
385,385,0,0,0,805
386,386,0,0,0,909
387,387,0,0,0,-2496
388,388,0,0,0,4030
389,389,0,0,0,-4174
390,390,0,0,0,8146
391,391,0,0,0,-6630
392,392,0,0,0,7664
393,393,0,0,0,-4363
394,394,0,0,0,5598
395,395,0,0,0,-4621
396,396,0,0,0,3182
397,397,0,0,0,-614
398,398,0,0,0,-37
399,399,0,0,0,3796
400,400,0,0,0,-2258
401,401,0,0,0,4674
402,402,0,0,0,-5701
403,403,0,0,0,6362
404,404,0,0,0,-4685
405,405,0,0,0,6531
406,406,0,0,0,-6096
407,407,0,0,0,7146
408,408,0,0,0,-3938
409,409,0,0,0,2418
410,410,0,0,0,-783
411,411,0,0,0,-894
412,412,0,0,0,3582
413,413,0,0,0,-1933
414,414,0,0,0,5228
415,415,0,0,0,-5074
416,416,0,0,0,6553
417,417,0,0,0,-4680
418,418,0,0,0,7318
419,419,0,0,0,-5690
420,420,0,0,0,6583
421,421,0,0,0,-3238
422,422,0,0,0,1621
423,423,0,0,0,1094
424,424,0,0,0,-1716
425,425,0,0,0,3318
426,426,0,0,0,-4641
427,427,0,0,0,7753
428,428,0,0,0,-6404
429,429,0,0,0,7676
430,430,0,0,0,-4575
431,431,0,0,0,5990
432,432,0,0,0,-4170
433,433,0,0,0,3898
434,434,0,0,0,-404
435,435,0,0,0,804
436,436,0,0,0,929
437,437,0,0,0,-2518
438,438,0,0,0,4031
439,439,0,0,0,-4186
440,440,0,0,0,8138
441,441,0,0,0,-6635
442,442,0,0,0,7651
443,443,0,0,0,-4360
444,444,0,0,0,5579
445,445,0,0,0,-4590
446,446,0,0,0,3175
447,447,0,0,0,-600
448,448,0,0,0,-35
449,449,0,0,0,3808
450,450,0,0,0,-2255
451,451,0,0,0,4666
