Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
237,237,0,0,0,14351
238,238,0,0,0,10634
239,239,0,0,0,7906
240,240,0,0,0,2084
241,241,0,0,0,663
242,242,0,0,0,2062
243,243,0,0,0,7827
244,244,0,0,0,10431
245,245,0,0,0,14198
246,246,0,0,0,15685
247,247,0,0,0,14370
248,248,0,0,0,10618
249,249,0,0,0,7932
250,250,0,0,0,2080
251,251,0,0,0,670
252,252,0,0,0,2081
253,253,0,0,0,7838
254,254,0,0,0,10455
255,255,0,0,0,14218
256,256,0,0,0,15680
257,257,0,0,0,14358
258,258,0,0,0,10611
259,259,0,0,0,7936
260,260,0,0,0,2070
261,261,0,0,0,676
262,262,0,0,0,2079
263,263,0,0,0,7824
264,264,0,0,0,10419
265,265,0,0,0,14223
266,266,0,0,0,15690
267,267,0,0,0,14352
268,268,0,0,0,10635
269,269,0,0,0,7937
270,270,0,0,0,2076
271,271,0,0,0,650
272,272,0,0,0,2054
273,273,0,0,0,7823
274,274,0,0,0,10420
275,275,0,0,0,14216
276,276,0,0,0,15702
277,277,0,0,0,14372
278,278,0,0,0,10619
279,279,0,0,0,7943
280,280,0,0,0,2082
281,281,0,0,0,650
282,282,0,0,0,2064
283,283,0,0,0,7826
284,284,0,0,0,10442
285,285,0,0,0,14232
286,286,0,0,0,15681
287,287,0,0,0,14359
288,288,0,0,0,10632
289,289,0,0,0,7941
290,290,0,0,0,2083
291,291,0,0,0,671
292,292,0,0,0,2071
293,293,0,0,0,7828
294,294,0,0,0,10458
295,295,0,0,0,14221
296,296,0,0,0,15716
297,297,0,0,0,14369
298,298,0,0,0,10621
299,299,0,0,0,7928
300,300,0,0,0,2093
301,301,0,0,0,651
302,302,0,0,0,2060
303,303,0,0,0,7807
304,304,0,0,0,10422
305,305,0,0,0,14194
306,306,0,0,0,15684
307,307,0,0,0,14374
308,308,0,0,0,10624
309,309,0,0,0,7917
310,310,0,0,0,2080
311,311,0,0,0,646
312,312,0,0,0,2081
313,313,0,0,0,7837
314,314,0,0,0,10423
315,315,0,0,0,14215
316,316,0,0,0,15670
317,317,0,0,0,14360
318,318,0,0,0,10628
319,319,0,0,0,7938
320,320,0,0,0,2076
321,321,0,0,0,649
322,322,0,0,0,2068
323,323,0,0,0,7823
324,324,0,0,0,10431
325,325,0,0,0,14216
326,326,0,0,0,15708
327,327,0,0,0,14396
328,328,0,0,0,10625
329,329,0,0,0,7942
330,330,0,0,0,2086
331,331,0,0,0,664
332,332,0,0,0,2058
333,333,0,0,0,7819
334,334,0,0,0,10435
335,335,0,0,0,14208
336,336,0,0,0,15691
337,337,0,0,0,14348
338,338,0,0,0,10624
339,339,0,0,0,7957
340,340,0,0,0,2105
341,341,0,0,0,672
342,342,0,0,0,2071
343,343,0,0,0,7829
344,344,0,0,0,10426
345,345,0,0,0,14199
346,346,0,0,0,15690
347,347,0,0,0,14374
348,348,0,0,0,10643
349,349,0,0,0,7927
350,350,0,0,0,2080
351,351,0,0,0,680
352,352,0,0,0,2077
353,353,0,0,0,7823
354,354,0,0,0,10427
355,355,0,0,0,14220
356,356,0,0,0,15680
357,357,0,0,0,14350
358,358,0,0,0,10646
359,359,0,0,0,7943
360,360,0,0,0,2078
361,361,0,0,0,653
362,362,0,0,0,2066
363,363,0,0,0,7822
364,364,0,0,0,10420
365,365,0,0,0,14204
366,366,0,0,0,15675
367,367,0,0,0,14348
368,368,0,0,0,10619
369,369,0,0,0,7928
370,370,0,0,0,2076
371,371,0,0,0,665
372,372,0,0,0,2075
373,373,0,0,0,7824
374,374,0,0,0,10434
375,375,0,0,0,14199
376,376,0,0,0,15678
377,377,0,0,0,14377
378,378,0,0,0,10617
379,379,0,0,0,7927
380,380,0,0,0,2089
381,381,0,0,0,663
382,382,0,0,0,2070
383,383,0,0,0,7809
384,384,0,0,0,10416
385,385,0,0,0,14199
386,386,0,0,0,15689
387,387,0,0,0,14374
388,388,0,0,0,10622
389,389,0,0,0,7951
390,390,0,0,0,2086
391,391,0,0,0,663
392,392,0,0,0,2060
393,393,0,0,0,7808
394,394,0,0,0,10399
395,395,0,0,0,14214
396,396,0,0,0,15693
397,397,0,0,0,14366
398,398,0,0,0,10649
399,399,0,0,0,7928
400,400,0,0,0,2091
401,401,0,0,0,658
402,402,0,0,0,2055
403,403,0,0,0,7813
404,404,0,0,0,10430
405,405,0,0,0,14193
406,406,0,0,0,15680
407,407,0,0,0,14373
408,408,0,0,0,10634
409,409,0,0,0,7932
410,410,0,0,0,2080
411,411,0,0,0,645
412,412,0,0,0,2049
413,413,0,0,0,7811
414,414,0,0,0,10417
415,415,0,0,0,14206
416,416,0,0,0,15686
417,417,0,0,0,14365
418,418,0,0,0,10637
419,419,0,0,0,7952
420,420,0,0,0,2080
421,421,0,0,0,668
422,422,0,0,0,2057
